Department,Age,Education,Education Field,Gender,Job Involvement,Performance Rating,Marital Status,Years At Company,Training Times Last Year,Environment Satisfaction,Job Satisfaction,Work Life Balance,Monthly Income
Research & Development,43,4,Medical,Male,3,3,Single,8,2,3,4,3,24390
Research & Development,49,3,Life Sciences,Male,3,4,Single,7,2,3,3,3,73140
Research & Development,52,1,Life Sciences,Female,3,3,Married,8,2,3,2,2,47740
Research & Development,27,4,Medical,Male,3,4,Single,4,2,3,2,2,39020
Research & Development,32,3,Life Sciences,Male,4,3,Married,13,6,3,2,3,26620
Research & Development,27,2,Medical,Female,4,3,Single,5,5,4,3,3,28560
Sales,31,3,Life Sciences,Male,4,3,Divorced,7,4,4,4,3,10810
Research & Development,32,3,Technical Degree,Male,3,3,Single,7,2,1,4,2,24720
Research & Development,28,4,Medical,Male,2,3,Married,3,4,1,4,2,56730
Research & Development,30,3,Life Sciences,Female,3,3,Married,10,3,4,4,3,41970
Research & Development,31,1,Life Sciences,Female,2,3,Married,10,5,3,3,3,97130
Research & Development,39,4,Medical,Female,3,3,Married,21,4,3,4,3,20620
Research & Development,39,1,Medical,Female,3,3,Married,1,0,4,3,2,42840
Sales,33,2,Life Sciences,Male,3,3,Single,7,0,2,4,2,47880
Research & Development,47,3,Life Sciences,Female,4,4,Married,3,4,4,3,3,59060
Research & Development,43,3,Medical,Female,3,3,Divorced,9,2,3,3,4,38860
Research & Development,27,3,Life Sciences,Male,3,3,Married,5,3,3,2,3,168230
Research & Development,54,4,Life Sciences,Male,3,3,Single,4,2,4,3,2,29330
Research & Development,43,2,Life Sciences,Female,3,4,Married,1,3,3,1,2,65000
Sales,45,1,Marketing,Female,3,3,Married,10,6,4,4,3,171740
Research & Development,40,4,Other,Male,3,3,Married,4,6,2,4,2,50330
Research & Development,29,3,Medical,Female,3,3,Married,7,0,2,1,2,23070
Human Resources,29,3,Medical,Male,3,4,Single,3,3,2,4,3,25870
Research & Development,30,3,Life Sciences,Male,2,3,Divorced,10,2,4,3,3,55070
Research & Development,27,2,Medical,Male,2,3,Married,8,2,2,2,3,43930
Sales,37,4,Life Sciences,Male,3,3,Divorced,6,4,4,4,2,133480
Research & Development,38,4,Medical,Male,3,3,Divorced,11,1,3,4,3,65830
Research & Development,31,3,Medical,Female,3,3,Single,11,5,3,4,3,81030
Research & Development,29,4,Life Sciences,Male,3,3,Divorced,7,0,4,2,3,39780
Sales,35,2,Technical Degree,Male,4,3,Single,16,3,3,2,3,25440
Research & Development,23,4,Life Sciences,Male,2,4,Divorced,4,2,3,4,2,53990
Research & Development,41,2,Life Sciences,Female,3,3,Single,5,0,4,2,3,54870
Sales,47,3,Medical,Female,4,3,Single,0,2,2,3,3,68340
Research & Development,42,4,Life Sciences,Male,1,4,Single,1,0,1,4,3,10910
Sales,29,4,Marketing,Male,2,4,Married,4,1,4,3,2,57360
Sales,42,4,Medical,Male,2,3,Divorced,3,3,3,3,3,22260
Research & Development,32,3,Medical,Male,3,3,Married,8,0,3,2,3,57470
Sales,48,4,Medical,Male,2,3,Married,0,2,1,3,1,98540
Research & Development,37,5,Technical Degree,Male,3,3,Divorced,7,2,3,1,3,54670
Sales,30,4,Other,Male,3,4,Married,2,0,4,3,4,53800
Sales,26,3,Medical,Female,3,3,Married,8,3,3,3,3,51510
Sales,42,2,Medical,Female,3,3,Single,1,2,1,4,3,21330
Research & Development,21,3,Medical,Female,2,3,Single,3,5,1,2,3,178750
Human Resources,36,3,Human Resources,Male,1,4,Single,1,4,4,4,3,24320
Research & Development,36,3,Life Sciences,Female,3,3,Married,13,2,1,4,3,47710
Research & Development,57,4,Life Sciences,Male,1,3,Married,3,2,4,3,3,191610
Research & Development,40,3,Other,Male,3,3,Married,7,3,4,3,3,50870
Research & Development,21,5,Life Sciences,Female,1,3,Single,3,2,1,4,2,28630
Human Resources,33,2,Human Resources,Female,1,4,Single,1,3,4,3,3,55610
Research & Development,37,3,Life Sciences,Male,4,3,Married,5,3,3,1,3,21440
Sales,46,4,Marketing,Female,3,3,Married,1,3,3,3,4,30650
Research & Development,41,1,Medical,Female,4,3,Single,8,3,1,2,3,28100
Research & Development,50,3,Medical,Female,3,3,Single,4,2,4,4,3,98880
Research & Development,40,3,Medical,Female,2,4,Married,6,2,3,3,3,86280
Research & Development,31,3,Life Sciences,Male,3,4,Single,2,5,3,2,3,28670
Human Resources,21,2,Human Resources,Male,3,3,Single,1,2,3,2,3,53730
Research & Development,29,3,Life Sciences,Female,4,3,Single,3,6,4,4,3,66670
Research & Development,35,3,Life Sciences,Female,3,3,Single,1,2,3,2,3,50030
Sales,27,3,Life Sciences,Male,3,3,Divorced,5,2,4,2,3,23670
Research & Development,28,2,Medical,Male,2,3,Single,7,2,2,4,3,28580
Sales,49,3,Technical Degree,Male,3,3,Single,5,3,2,3,3,52040
Research & Development,51,2,Life Sciences,Male,3,4,Married,7,2,3,4,2,41050
Sales,36,2,Life Sciences,Male,3,3,Married,2,1,4,3,3,96790
Research & Development,34,3,Life Sciences,Male,3,4,Single,5,3,1,4,2,56170
Sales,55,3,Marketing,Male,3,3,Single,5,3,3,4,3,104480
Research & Development,24,3,Life Sciences,Female,3,3,Divorced,5,4,4,3,4,28970
Research & Development,30,3,Life Sciences,Female,3,3,Married,1,3,3,2,3,59680
Sales,26,3,Life Sciences,Male,3,3,Single,6,3,3,2,3,75100
Research & Development,22,5,Other,Male,2,3,Married,2,3,1,2,3,29910
Research & Development,36,3,Medical,Female,3,3,Married,10,3,2,3,3,196360
Sales,30,2,Marketing,Male,2,3,Single,1,2,3,4,3,11290
Research & Development,37,1,Technical Degree,Male,3,3,Divorced,18,3,4,1,2,133410
Research & Development,40,2,Medical,Male,2,3,Divorced,5,3,4,2,3,43320
Research & Development,42,3,Medical,Female,2,3,Divorced,5,2,2,1,3,110310
Sales,37,1,Marketing,Male,2,3,Single,1,3,3,2,2,44400
Sales,43,2,Life Sciences,Female,3,3,Divorced,25,2,1,2,3,46170
Sales,40,2,Life Sciences,Female,2,3,Married,1,2,2,3,3,26470
Human Resources,54,3,Life Sciences,Female,2,4,Married,4,2,1,1,2,63230
Research & Development,34,3,Medical,Male,3,4,Married,3,3,3,3,3,56770
Research & Development,31,4,Life Sciences,Male,2,3,Married,13,2,2,1,1,21870
Sales,43,3,Life Sciences,Female,2,3,Married,3,3,4,4,3,37480
Sales,43,4,Life Sciences,Male,3,3,Divorced,5,3,3,3,3,39770
Human Resources,25,2,Human Resources,Male,4,3,Single,5,2,2,4,3,86330
Research & Development,37,3,Medical,Male,2,4,Married,13,5,2,3,3,20080
Research & Development,31,1,Medical,Male,3,3,Married,4,2,4,1,3,44400
Research & Development,39,4,Technical Degree,Female,1,4,Divorced,21,5,2,3,3,30670
Research & Development,56,4,Life Sciences,Female,3,3,Married,7,1,3,1,2,53210
Sales,30,4,Medical,Female,3,3,Single,5,2,2,3,3,54100
Research & Development,41,3,Technical Degree,Female,2,3,Married,10,2,2,1,3,27820
Research & Development,28,3,Medical,Male,2,3,Divorced,10,2,3,1,3,119570
Research & Development,25,2,Life Sciences,Female,3,3,Married,2,3,1,1,3,26600
Research & Development,52,2,Life Sciences,Female,2,4,Married,5,2,4,3,3,33750
Research & Development,45,3,Medical,Female,3,3,Married,2,4,1,4,2,50980
Research & Development,52,3,Medical,Male,3,3,Married,5,3,4,4,1,48780
Sales,42,3,Marketing,Female,2,3,Divorced,5,0,1,3,3,28370
Sales,30,3,Marketing,Male,3,4,Single,5,5,3,4,3,24060
Research & Development,60,3,Life Sciences,Female,3,3,Married,29,4,1,1,1,22690
Sales,46,4,Marketing,Female,2,3,Divorced,10,5,3,3,2,41080
Research & Development,42,4,Technical Degree,Male,3,3,Married,6,2,4,4,4,132060
Research & Development,24,2,Medical,Male,2,3,Single,5,0,1,2,3,104220
Research & Development,34,3,Medical,Male,3,4,Divorced,2,3,4,3,2,137440
Sales,38,3,Marketing,Female,3,3,Married,1,3,4,4,3,49070
Sales,40,4,Marketing,Female,2,3,Married,20,2,3,3,3,34820
Research & Development,26,2,Medical,Female,4,4,Divorced,3,2,1,4,1,24360
Research & Development,30,3,Medical,Female,2,3,Married,5,2,3,4,1,23800
Research & Development,29,3,Medical,Female,3,3,Married,10,3,2,3,3,194310
Research & Development,29,4,Life Sciences,Male,2,3,Married,2,4,3,2,4,17900
Research & Development,19,3,Medical,Male,3,3,Single,1,2,1,4,4,76440
Research & Development,30,4,Life Sciences,Female,3,3,Married,9,2,3,1,3,51310
Research & Development,57,2,Life Sciences,Male,3,3,Divorced,1,3,1,4,2,63060
Sales,50,4,Life Sciences,Female,3,3,Married,27,3,2,3,3,47870
Sales,30,2,Life Sciences,Male,3,4,Single,11,3,3,4,2,188800
Research & Development,60,3,Life Sciences,Female,3,4,Married,18,4,3,1,4,23390
Research & Development,47,3,Technical Degree,Male,2,3,Divorced,5,2,1,4,3,135700
Sales,46,1,Technical Degree,Male,2,4,Married,3,3,1,3,1,67120
Research & Development,35,2,Medical,Female,3,3,Single,5,2,4,3,3,54060
Research & Development,54,4,Medical,Male,3,3,Single,1,2,3,3,3,89380
Sales,34,2,Life Sciences,Male,4,3,Divorced,7,2,4,3,3,24390
Research & Development,46,3,Life Sciences,Male,2,3,Married,3,3,3,4,3,88370
Research & Development,31,3,Life Sciences,Male,3,3,Divorced,13,3,3,2,4,53430
Research & Development,33,3,Life Sciences,Female,2,4,Married,7,2,2,3,4,67280
Sales,33,4,Marketing,Male,3,4,Divorced,4,5,1,4,3,66520
Research & Development,30,3,Life Sciences,Male,3,3,Single,3,4,4,2,3,48500
Research & Development,35,2,Medical,Female,1,4,Married,8,2,4,3,3,28090
Research & Development,31,2,Medical,Female,2,3,Married,1,2,1,3,3,56890
Sales,34,1,Marketing,Male,4,4,Divorced,3,5,2,1,3,20010
Research & Development,42,4,Medical,Female,2,3,Married,2,3,2,3,3,29770
Research & Development,36,4,Medical,Male,3,3,Single,10,3,2,4,2,40250
Research & Development,22,3,Medical,Female,3,3,Single,2,2,3,3,3,37850
Research & Development,48,3,Medical,Male,3,3,Married,9,6,2,4,3,108540
Research & Development,55,3,Medical,Female,3,3,Single,10,5,1,2,3,120310
Research & Development,41,2,Life Sciences,Female,2,3,Single,14,2,4,4,3,99360
Research & Development,35,3,Medical,Female,2,3,Married,11,2,2,3,3,29660
Research & Development,40,3,Life Sciences,Female,3,3,Single,20,1,2,3,3,25710
Research & Development,39,1,Medical,Male,3,3,Married,8,3,3,3,3,99910
Research & Development,31,4,Life Sciences,Male,2,3,Single,6,2,2,4,4,61420
Research & Development,42,3,Medical,Male,3,3,Married,10,3,4,1,2,53900
Research & Development,45,1,Medical,Female,3,4,Married,8,2,4,2,4,44040
Research & Development,26,1,Life Sciences,Female,3,3,Divorced,7,3,4,3,2,59930
Research & Development,29,3,Medical,Male,2,3,Divorced,3,3,4,4,4,51300
Research & Development,33,3,Medical,Female,3,3,Divorced,6,2,1,3,3,20900
Research & Development,31,4,Life Sciences,Female,3,3,Divorced,5,2,3,4,2,29090
Research & Development,18,3,Technical Degree,Male,4,3,Single,0,4,2,2,3,34680
Research & Development,40,4,Technical Degree,Female,2,3,Divorced,1,3,3,1,3,30680
Research & Development,41,3,Life Sciences,Male,2,3,Single,8,2,1,3,3,26700
Research & Development,26,4,Medical,Male,2,3,Divorced,0,3,1,3,3,26930
Research & Development,35,4,Medical,Male,2,3,Single,5,2,1,3,3,95260
Research & Development,34,3,Medical,Male,2,3,Single,10,3,4,4,3,52370
Sales,26,3,Marketing,Female,1,4,Single,1,3,3,4,1,24260
Research & Development,37,1,Life Sciences,Male,3,3,Single,6,5,2,4,4,41930
Research & Development,46,1,Medical,Male,3,3,Married,2,3,1,3,2,29110
Research & Development,41,1,Life Sciences,Male,3,3,Married,18,2,2,1,3,26610
Research & Development,37,2,Medical,Male,3,3,Divorced,9,3,1,2,3,20280
Sales,52,1,Medical,Male,3,3,Divorced,10,2,4,1,3,99800
Research & Development,32,2,Life Sciences,Female,2,4,Married,4,4,4,3,3,32980
Sales,24,3,Life Sciences,Female,2,3,Married,2,5,4,4,3,29350
Research & Development,38,3,Life Sciences,Female,3,3,Married,1,2,3,3,3,154270
Research & Development,37,4,Technical Degree,Female,3,3,Married,6,3,2,2,2,39440
Sales,49,1,Life Sciences,Male,1,3,Divorced,31,2,4,3,3,40110
Sales,24,3,Marketing,Female,2,3,Married,6,2,2,4,3,34070
Research & Development,26,4,Technical Degree,Female,3,3,Married,5,6,1,2,4,119940
Sales,24,3,Medical,Female,1,3,Married,1,4,4,2,3,12320
Sales,50,2,Marketing,Male,3,3,Married,32,2,1,2,3,29600
Research & Development,25,3,Life Sciences,Male,2,3,Married,7,3,2,3,3,190940
Research & Development,24,3,Medical,Male,3,4,Married,6,3,1,3,3,39190
Research & Development,30,3,Other,Male,3,3,Married,1,2,2,1,4,68250
Sales,34,2,Life Sciences,Male,3,3,Married,6,4,2,4,3,102480
Research & Development,31,1,Medical,Female,2,3,Divorced,3,2,2,1,1,189470
Research & Development,35,3,Life Sciences,Female,3,3,Single,3,3,1,4,3,24960
Sales,31,3,Marketing,Female,3,3,Divorced,7,3,1,4,4,64650
Sales,27,4,Medical,Male,3,3,Divorced,5,4,1,3,2,22060
Sales,37,4,Marketing,Female,3,3,Married,3,3,4,3,2,20860
Research & Development,20,4,Medical,Female,1,3,Single,1,3,4,2,4,22930
Research & Development,42,4,Life Sciences,Female,3,3,Married,10,5,3,4,3,26450
Research & Development,43,5,Technical Degree,Female,3,3,Divorced,1,3,2,4,2,26830
Human Resources,38,4,Medical,Male,4,3,Single,0,5,3,1,2,20140
Sales,43,3,Medical,Female,3,3,Divorced,8,5,4,3,3,34190
Research & Development,48,1,Medical,Male,4,3,Married,3,3,4,1,1,53760
Sales,44,4,Marketing,Male,4,4,Single,2,4,1,3,4,19510
Research & Development,34,4,Life Sciences,Female,2,4,Divorced,8,3,3,3,3,23410
Sales,27,3,Life Sciences,Male,3,3,Divorced,4,0,3,1,3,22930
Sales,21,2,Life Sciences,Male,1,3,Single,3,2,3,3,3,87260
Research & Development,44,2,Life Sciences,Male,3,3,Married,2,2,4,4,4,40110
Research & Development,22,2,Medical,Female,2,3,Married,2,3,1,3,3,195450
Sales,33,4,Marketing,Female,3,3,Divorced,5,2,3,3,3,45680
Research & Development,32,1,Life Sciences,Female,3,3,Married,6,3,1,4,2,30220
Research & Development,30,5,Technical Degree,Male,3,3,Divorced,1,3,3,3,3,57720
Research & Development,53,3,Other,Female,2,3,Single,14,2,4,1,4,22690
Research & Development,34,5,Medical,Male,3,3,Married,10,0,2,4,2,53810
Research & Development,45,4,Life Sciences,Male,3,3,Married,1,5,1,1,3,34410
Research & Development,26,2,Life Sciences,Male,4,3,Married,3,5,3,4,3,54540
Research & Development,37,3,Medical,Male,2,3,Married,10,3,3,3,3,98840
Research & Development,29,3,Life Sciences,Female,3,3,Married,6,2,2,3,2,41570
Research & Development,35,5,Medical,Female,3,3,Single,17,3,2,4,3,134580
Research & Development,33,3,Technical Degree,Male,3,4,Divorced,13,3,3,4,1,90690
Research & Development,54,2,Life Sciences,Female,2,3,Married,9,4,3,2,4,40140
Research & Development,36,3,Life Sciences,Male,2,3,Divorced,3,3,2,2,3,59150
Sales,27,3,Marketing,Male,1,3,Single,4,3,1,4,3,59930
Research & Development,20,3,Life Sciences,Male,2,3,Single,1,2,4,3,3,61620
Research & Development,33,4,Medical,Female,3,3,Single,10,3,1,1,3,24060
Research & Development,35,1,Medical,Male,4,3,Married,1,2,3,3,3,187400
Research & Development,23,3,Life Sciences,Male,3,3,Married,3,3,1,1,4,76370
Research & Development,25,3,Medical,Male,3,3,Married,3,3,4,2,3,100960
Research & Development,38,3,Life Sciences,Male,2,4,Single,7,3,4,4,3,147560
Sales,29,4,Life Sciences,Male,2,3,Divorced,10,3,2,4,3,64990
Research & Development,48,3,Technical Degree,Male,4,3,Married,2,2,2,2,3,97240
Sales,27,3,Technical Degree,Male,3,3,Divorced,6,5,4,4,3,21940
Research & Development,37,3,Life Sciences,Male,4,3,Single,1,2,4,4,3,33880
Sales,50,3,Medical,Male,4,3,Married,20,2,4,3,3,54730
Research & Development,34,1,Medical,Male,3,4,Single,8,2,4,2,4,27030
Research & Development,24,2,Life Sciences,Female,1,3,Single,2,3,1,3,3,25010
Research & Development,39,5,Medical,Female,3,3,Single,20,2,4,3,3,62200
Research & Development,32,3,Life Sciences,Male,1,3,Single,10,5,4,4,2,30380
Research & Development,50,2,Medical,Male,2,3,Married,4,2,2,3,3,44240
Research & Development,38,4,Life Sciences,Male,2,3,Single,9,2,2,4,2,43120
Research & Development,27,3,Medical,Male,2,4,Married,9,3,3,1,3,132450
Sales,32,3,Medical,Male,3,3,Single,7,6,3,4,3,136640
Research & Development,47,3,Medical,Female,3,3,Single,7,3,4,1,3,50210
Research & Development,40,4,Medical,Female,3,3,Married,18,2,4,1,3,51260
Research & Development,53,1,Life Sciences,Male,3,3,Married,5,2,3,3,3,28590
Sales,41,3,Medical,Male,3,4,Divorced,21,3,2,4,2,102390
Research & Development,60,2,Life Sciences,Female,4,4,Single,2,3,1,1,3,53290
Research & Development,27,1,Life Sciences,Male,2,3,Divorced,9,2,4,1,2,43250
Research & Development,41,3,Medical,Male,3,3,Married,22,2,4,3,3,72600
Sales,50,3,Life Sciences,Male,4,4,Married,2,0,4,2,3,23220
Sales,28,4,Life Sciences,Male,2,3,Single,7,0,1,2,3,20750
Research & Development,36,4,Technical Degree,Female,3,3,Married,8,3,1,1,3,41520
Research & Development,38,3,Medical,Female,3,3,Single,1,2,3,3,4,96190
Research & Development,44,2,Life Sciences,Male,2,3,Single,5,6,1,3,3,135030
Research & Development,47,3,Life Sciences,Male,2,4,Divorced,22,6,4,3,2,54410
Research & Development,30,3,Life Sciences,Male,3,3,Divorced,8,3,3,4,2,52090
Research & Development,29,2,Medical,Female,3,3,Single,1,2,3,3,3,106730
Research & Development,42,1,Life Sciences,Female,3,4,Divorced,2,3,3,3,3,50100
Research & Development,43,1,Life Sciences,Male,3,3,Married,2,3,4,4,3,135490
Research & Development,34,5,Technical Degree,Male,4,3,Single,5,2,2,3,3,49990
Sales,23,3,Marketing,Male,3,3,Married,4,4,2,1,4,42210
Sales,39,4,Marketing,Female,2,3,Married,8,3,3,2,1,138720
Research & Development,56,4,Medical,Male,3,3,Married,10,6,3,4,2,20420
Sales,40,3,Marketing,Male,3,3,Single,4,3,4,4,2,20730
Research & Development,27,3,Life Sciences,Female,3,3,Single,7,6,4,1,1,29560
Sales,29,3,Marketing,Female,2,3,Divorced,2,3,4,2,3,29260
Research & Development,53,3,Life Sciences,Female,3,3,Single,2,2,4,4,3,48090
Research & Development,35,1,Medical,Male,3,3,Divorced,1,4,4,1,4,51630
Sales,32,4,Life Sciences,Male,1,3,Married,10,3,4,4,3,188440
Sales,38,3,Medical,Male,3,3,Married,1,5,4,3,1,181720
Research & Development,34,3,Medical,Female,2,3,Divorced,0,4,2,1,3,57440
Sales,52,5,Technical Degree,Male,3,3,Married,34,2,3,1,4,28890
Research & Development,33,2,Medical,Male,3,3,Single,10,2,4,4,2,28710
Research & Development,25,3,Life Sciences,Male,3,3,Single,6,3,3,4,2,74840
Sales,45,3,Life Sciences,Male,3,3,Single,8,2,2,3,3,60740
Research & Development,23,1,Life Sciences,Female,1,3,Single,2,2,1,3,3,173280
Research & Development,47,3,Life Sciences,Male,3,3,Single,5,2,2,3,3,27740
Research & Development,34,3,Technical Degree,Male,3,3,Single,6,3,4,4,3,45050
Human Resources,55,3,Human Resources,Male,3,3,Married,5,2,4,1,3,74280
Research & Development,36,2,Life Sciences,Male,1,3,Single,10,2,1,1,3,116310
Research & Development,52,4,Life Sciences,Male,3,3,Married,4,2,4,4,3,97380
Research & Development,26,2,Life Sciences,Male,3,3,Divorced,2,2,1,4,3,28350
Research & Development,29,2,Medical,Male,3,3,Married,8,5,2,3,2,169590
Research & Development,26,2,Life Sciences,Male,3,3,Single,4,2,4,1,2,26130
Research & Development,34,4,Technical Degree,Male,3,3,Single,4,3,2,4,3,61460
Research & Development,54,4,Medical,Female,3,3,Divorced,5,2,4,1,3,49630
Research & Development,27,2,Life Sciences,Female,3,3,Married,4,5,3,4,3,195370
Sales,37,4,Technical Degree,Male,3,3,Divorced,5,1,4,1,2,61720
Sales,38,4,Life Sciences,Female,3,3,Single,15,3,1,1,3,23680
Sales,34,3,Marketing,Male,3,3,Single,6,2,3,1,3,103120
Research & Development,35,4,Medical,Male,2,3,Married,3,6,1,4,2,16750
Research & Development,30,3,Medical,Male,3,3,Married,2,2,4,3,3,25230
Research & Development,40,4,Medical,Male,4,3,Married,8,3,3,2,3,65670
Research & Development,34,3,Life Sciences,Male,3,4,Married,3,2,3,1,3,47390
Research & Development,42,4,Medical,Male,4,3,Divorced,24,2,2,4,2,92080
Sales,23,3,Medical,Female,2,3,Married,0,2,3,1,3,45590
Sales,24,5,Marketing,Female,3,3,Divorced,1,3,3,2,3,81890
Research & Development,52,3,Life Sciences,Male,2,3,Married,5,1,4,3,3,29420
Research & Development,50,4,Life Sciences,Male,1,3,Married,4,3,3,3,3,49410
Sales,29,4,Marketing,Female,4,3,Married,1,2,2,1,3,106500
Research & Development,33,4,Life Sciences,Male,3,3,Married,13,2,3,3,4,59020
Research & Development,33,5,Life Sciences,Male,2,3,Single,3,3,1,1,3,86390
Research & Development,47,4,Other,Male,4,3,Married,26,2,3,4,2,63470
Sales,36,3,Medical,Female,3,4,Married,9,3,3,2,3,42000
Research & Development,29,3,Other,Male,2,3,Married,10,3,3,3,3,34520
Research & Development,58,3,Other,Female,3,3,Single,31,2,4,2,3,43170
Sales,35,4,Marketing,Female,4,3,Single,2,3,4,3,3,26320
Sales,42,1,Marketing,Male,3,3,Married,4,2,4,4,3,46680
Research & Development,28,4,Medical,Female,2,3,Single,2,4,3,3,2,32040
Research & Development,36,3,Life Sciences,Male,3,3,Married,5,3,3,2,3,27200
Research & Development,32,1,Medical,Male,2,3,Married,14,2,3,3,3,171810
Sales,40,3,Marketing,Male,3,3,Single,1,3,1,3,3,22380
Research & Development,30,3,Technical Degree,Male,3,3,Single,0,3,3,4,2,14830
Research & Development,45,4,Life Sciences,Male,3,3,Single,1,2,2,3,3,56050
Research & Development,42,2,Medical,Male,3,3,Married,9,3,2,2,2,72950
Sales,38,3,Medical,Male,3,3,Divorced,4,5,1,1,2,23060
Research & Development,34,4,Life Sciences,Male,3,3,Single,5,3,3,4,3,23480
Sales,49,2,Life Sciences,Female,4,3,Married,9,2,3,4,4,89980
Human Resources,55,3,Technical Degree,Male,4,3,Single,9,3,3,4,2,43190
Research & Development,43,2,Medical,Male,2,3,Married,4,3,2,1,3,61320
Sales,27,4,Medical,Male,2,4,Divorced,9,2,3,4,3,33460
Research & Development,35,3,Medical,Male,3,3,Single,8,2,3,3,4,108550
Sales,28,2,Technical Degree,Female,2,3,Married,8,3,2,2,3,22310
Sales,34,5,Life Sciences,Male,3,3,Married,3,2,3,4,1,23230
Research & Development,26,4,Other,Female,3,4,Married,8,2,3,3,3,20240
Sales,27,3,Technical Degree,Female,3,3,Married,0,2,4,4,2,27130
Sales,51,3,Medical,Male,3,3,Married,20,0,1,3,2,94390
